username,visited,nomadlist_recommends
@adicheo,"['Puerto Escondido,  Mexico', 'Mexico City,  Mexico', 'Miami, FL,  United States', 'Paris,  France', 'Bucharest,  Romania', 'Chieti,  Italy', 'Rome,  Italy', 'Syracuse,  Italy', 'Messina,  Italy', 'Sorrento,  Italy', 'Mexico City,  Mexico', 'Puerto Escondido,  Mexico', 'San José del Pacífico,  Mexico', 'Puerto Escondido,  Mexico', 'Mexico City,  Mexico', 'Mazunte,  Mexico']","['Bangkok, Thailand', 'Buenos  Aires, Argentina', 'Medellín, Colombia', 'Lisbon, Portugal', 'Athens, Greece', 'Tokyo, Japan', 'Berlin, Germany', 'Prague, Czechia']"
@solopreneurger,"['Dubai,  United Arab Emirates', 'Nuremberg,  Germany']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Berlin, Germany', 'Prague, Czechia', 'Munich, Germany']"
@brendonv93,"['Mexico City,  Mexico', 'Madrid,  Spain', 'Medellín,  Colombia', 'Bogota,  Colombia', 'Madrid,  Spain', 'New York City, NY,  United States', 'San Francisco, CA,  United States', 'Guayaquil,  Ecuador', 'Quito,  Ecuador', 'San Francisco, CA,  United States', 'Madrid,  Spain', 'St. Gallen,  Switzerland', 'New York City, NY,  United States', 'Madrid,  Spain', 'Badajoz,  Spain', 'Seville,  Spain']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Porto, Portugal']"
@vishalmadhvani,"['Hyderabad,  India', 'Mumbai,  India', 'Bangkok,  Thailand', 'Ko Tao,  Thailand', 'Ko Samui,  Thailand', 'Bangkok,  Thailand', 'Ko Lanta,  Thailand']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Thailand']"
@ngalaby,"['Cairo,  Egypt', 'Istanbul,  Turkey', 'Dahab,  Egypt', 'Phuket,  Thailand', 'Ko Lanta,  Thailand', 'Krabi,  Thailand', 'Chiang Mai,  Thailand', 'Cairo,  Egypt', 'Berlin,  Germany', 'Hannover,  Germany', 'Bruges,  Belgium', 'Brussels,  Belgium', 'Amsterdam,  Netherlands', 'Denver, CO,  United States', 'Mostar,  Bosnia', 'Split,  Croatia']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Budapest, Hungary', 'Prague, Czechia', 'Madrid, Spain']"
@shanedrye,"['Havana,  Cuba', 'Amsterdam,  Netherlands']","['Bangkok, Thailand', 'Medellín, Colombia', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@murillo,"['Sofia,  Bulgaria', 'Grimentz,  Switzerland', 'Lisbon,  Portugal', 'Buenos Aires,  Argentina', 'Cordoba,  Argentina', 'San Carlos de Bariloche,  Argentina', 'Montevideo,  Uruguay', 'Campo Grande,  Brazil']","['Bangkok, Thailand', 'Medellín, Colombia', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain']"
@r0drigomatias,"['Lisbon,  Portugal', 'Taghazout,  Morocco', 'Lisbon,  Portugal', 'Azores,  Portugal', 'Lisbon,  Portugal', 'Biarritz,  France']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Barcelona, Spain', 'Canggu, Indonesia', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@jennzajac,"['Prague,  Czechia', 'Amsterdam,  Netherlands', 'Canggu, Bali,  Indonesia', 'Singapore,  Singapore', 'Canggu, Bali,  Indonesia', 'Kuala Lumpur,  Malaysia', 'Canggu, Bali,  Indonesia', 'Amsterdam,  Netherlands', 'Tampa, FL,  United States', 'London,  United Kingdom', 'Boston, MA,  United States']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Madrid, Spain']"
@nicolekelner,"['San Francisco, CA,  United States', 'Wellington,  New Zealand', 'Queenstown,  New Zealand', 'Sydney,  Australia', 'Ko Lanta,  Thailand', 'Chiang Mai,  Thailand', 'Bangkok,  Thailand', 'Sedona,  United States', 'Phoenix,  United States', 'New York City, NY,  United States']","['Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Hungary']"
@nibogo,"['Bogota,  Colombia', 'London,  United Kingdom', 'Cardiff,  United Kingdom', 'Paris,  France', 'Manchester,  United Kingdom', 'Liverpool,  United Kingdom', 'Glasgow,  United Kingdom', 'Inverness,  United Kingdom', 'Edinburgh,  United Kingdom', 'Manchester,  United Kingdom', 'London,  United Kingdom', 'Bogota,  Colombia', 'Panama City,  Panama', 'Bogota,  Colombia', 'Rio de Janeiro,  Brazil', 'Bogota,  Colombia']","['Bangkok, Thailand', 'Buenos  Aires, Argentina', 'Lisbon, Portugal', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@anamaya,"['London,  United Kingdom', 'Amsterdam,  Netherlands', 'Amsterdam,  Netherlands']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Madrid, Spain']"
@julianking,"['Canggu, Bali,  Indonesia', 'Tbilisi,  Georgia', 'Istanbul,  Turkey', 'Matara,  Sri Lanka', 'Weligama,  Sri Lanka', 'Galle,  Sri Lanka', 'Bangkok,  Thailand', 'Ko Samui,  Thailand', 'Ko Pha Ngan,  Thailand', 'Bangkok,  Thailand', 'Phuket,  Thailand', 'Bangkok,  Thailand', 'Kuala Lumpur,  Malaysia', 'Uluwatu, Bali,  Indonesia', 'Gili Air,  Indonesia', 'Uluwatu, Bali,  Indonesia']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany', 'Berlin, Czechia']"
@liatero,"['Kyiv,  Ukraine', 'Uluwatu, Bali,  Indonesia', 'Ubud, Bali,  Indonesia', 'Ubud, Bali,  Indonesia']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Warsaw, Poland', 'Tokyo, Japan']"
@jorgegarcia,"['Budapest,  Hungary']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Athens, Greece', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@jphwang,"['Chiang Mai,  Thailand']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Hungary']"
@julianasaldanha,"['Chiang Mai,  Thailand', 'London,  United Kingdom', 'São Paulo,  Brazil', 'Phuket,  Thailand', 'London,  United Kingdom', 'North Shields,  United Kingdom', 'Bogota,  Colombia', 'Manaus,  Brazil', 'Machu Picchu,  Peru', 'Lima,  Peru', 'Curitiba,  Brazil', 'Buenos Aires,  Argentina', 'Belo Horizonte,  Brazil', 'São Paulo,  Brazil', 'Maceió,  Brazil', 'Santiago,  Chile']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@florislist,"['Tokyo,  Japan', 'Okinawa City, Okinawa,  Japan', 'Fukuoka,  Japan', 'Hiroshima,  Japan', 'Osaka,  Japan', 'Kyoto,  Japan', 'Tokyo,  Japan', 'Seoul,  South Korea']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Hong  Kong, Germany', 'Berlin, Czechia']"
@kabirx,"['Rome,  Italy', 'Barcelona,  Spain', 'London,  United Kingdom', 'New York City, NY,  United States']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@lucasmorello,"['Florianopolis,  Brazil', 'Madrid,  Spain', 'Pamplona,  Spain', 'Athens,  Greece', 'Beirut,  Lebanon', 'Saranda,  Albania', 'Athens,  Greece', 'Bucharest,  Romania', 'Lyon,  France', 'Annecy,  France', 'Chamonix,  France', 'Lyon,  France', 'Tenerife, Canary Islands,  Spain', 'London,  United Kingdom', 'Athens,  Greece', 'Zakynthos,  Greece']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Medellín, Colombia', 'Barcelona, Spain', 'Warsaw, Poland', 'Tokyo, Japan', 'Berlin, Germany', 'Prague, Czechia']"
@supersonic321,"['New York City, NY,  United States']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@daniathemermaid,"['London,  United Kingdom', 'Mexico City,  Mexico', 'San Francisco, CA,  United States', 'Miami, FL,  United States', 'Tulum,  Mexico']","['Bangkok, Thailand', 'Medellín, Colombia', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@hilary,"['Playa del Carmen,  Mexico', 'Mexico City,  Mexico', 'Tel Aviv,  Israel', 'Ko Lanta,  Thailand', 'Ko Pha Ngan,  Thailand']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Buenos  Aires, Argentina', 'Medellín, Colombia', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia']"
@thomaswalker,"['Melbourne,  Australia', 'Kuta, Bali,  Indonesia', 'Perth,  Australia', 'Seminyak, Bali,  Indonesia', 'Kuala Lumpur,  Malaysia', 'Canggu, Bali,  Indonesia', 'Sydney,  Australia', 'Singapore,  Singapore', 'Manchester,  United Kingdom', 'Melbourne,  Australia', 'Paleokastritsa Harbour,  Greece', 'Manchester,  United Kingdom', 'Prague,  Czechia', 'Bucharest,  Romania', 'Leipzig,  Germany', 'Casablanca,  Morocco']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany']"
@dvcolgan,"['Portland, OR,  United States', 'Seattle, WA,  United States', 'Berlin,  Germany', 'Vladivostok,  Russia', 'Moscow,  Russia', 'Berlin,  Germany']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Budapest, Hungary', 'Prague, Czechia', 'Tbilisi, Georgia', 'Munich, Germany', 'Amsterdam, Netherlands']"
@fernando_data,"['Canggu, Bali,  Indonesia']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Tokyo, Japan', 'Berlin, Germany', 'Amsterdam, Netherlands']"
@wiwo,"['Weligama,  Sri Lanka', 'Arugam Bay,  Sri Lanka', 'Jastarnia,  Poland', 'Warsaw,  Poland', 'Kuala Lumpur,  Malaysia', 'Ko Pha Ngan,  Thailand', 'Chiang Mai,  Thailand', 'Warsaw,  Poland', 'Canggu, Bali,  Indonesia', 'Budapest,  Hungary']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Athens, Greece', 'Tokyo, Japan', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@bubblemaker,"['Lisbon,  Portugal', 'Sagres,  Portugal']","['Bangkok, Thailand', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain', 'Porto, Portugal']"
@jetroidmakes,"['Coventry,  United Kingdom', 'Kuala Lumpur,  Malaysia', 'Canggu, Bali,  Indonesia', 'Singapore,  Singapore', 'Coventry,  United Kingdom', 'Bangkok,  Thailand', 'Chiang Mai,  Thailand', 'Canggu, Bali,  Indonesia', 'Ubud, Bali,  Indonesia', 'Canggu, Bali,  Indonesia', 'Jimbaran, Bali,  Indonesia', 'Kuala Lumpur,  Malaysia', 'Canggu, Bali,  Indonesia', 'Jimbaran, Bali,  Indonesia', 'Canggu, Bali,  Indonesia', 'Jimbaran, Bali,  Indonesia']","['Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Hong  Kong, Malaysia', 'Penang, Croatia', 'Split, Hungary', 'Budapest, Germany']"
@jpoda06,"['Cape Town,  South Africa', 'Guatemala City,  Guatemala', 'Toronto,  Canada', 'Panama City,  Panama', 'Cartagena,  Colombia', 'Miami, FL,  United States', 'Brooklyn,  United States']","['Bangkok, Thailand', 'Medellín, Colombia', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Berlin, Germany', 'Amsterdam, Netherlands', 'Madrid, Spain']"
@gabriellemorse,"['Playa del Carmen,  Mexico']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Buenos  Aires, Argentina', 'Medellín, Colombia', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Berlin, Germany']"
@blomster,"['Phuket,  Thailand']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Hong  Kong, Germany']"
@ballew,"['Lisbon,  Portugal', 'Frankfurt,  Germany', 'San Francisco, CA,  United States', 'Las Vegas, NV,  United States', 'San Francisco, CA,  United States', 'Lisbon,  Portugal', 'Porto,  Portugal', 'Lisbon,  Portugal', 'San Francisco, CA,  United States', 'Las Vegas, NV,  United States', 'San Francisco, CA,  United States', 'Carson City, NV,  United States', 'San Francisco, CA,  United States', 'Reno, NV,  United States', 'San Francisco, CA,  United States', 'Barcelona,  Spain']","['Kuala  Lumpur, Malaysia', 'Mexico  City, Mexico', 'Canggu, Indonesia', 'Hong  Kong, Hungary', 'Budapest, Czechia', 'Prague, Germany', 'Munich, Spain']"
@somedude,"['Manila,  Philippines', 'Manila,  Philippines', 'Point Pleasant Beach,  United States', 'Raleigh, NC,  United States', 'Virginia Beach, VA,  United States', 'Virginia Beach, VA,  United States', 'San Diego, CA,  United States', 'Virginia Beach, VA,  United States', 'Loveland,  United States', 'San Francisco, CA,  United States', 'Denver, CO,  United States', 'Seaside Heights,  United States', 'San Francisco, CA,  United States', 'Philadelphia, PA,  United States', 'Queens,  United States', 'Union County,  United States']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Berlin, Germany', 'Amsterdam, Netherlands']"
@eduardocerv,"['Puerto Escondido,  Mexico', 'Mexico City,  Mexico', 'Tulum,  Mexico']","['Bangkok, Thailand', 'Buenos  Aires, Argentina', 'Medellín, Colombia', 'Lisbon, Portugal', 'Barcelona, Spain', 'Berlin, Germany', 'Amsterdam, Netherlands', 'Istanbul, Turkey']"
@curlycolly,"['New York City, NY,  United States']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@vladyslav,"['Madrid,  Spain', 'Amsterdam,  Netherlands', 'Mazury,  Poland', 'Chernihiv,  Ukraine']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Porto, Portugal']"
@zlschuessler,"['Hawaii,  United States', 'Sydney,  Australia', 'Bangkok,  Thailand', 'Phoenix, AZ,  United States']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Germany']"
@margaritaloza,"['Sitges,  Spain', 'Barcelona,  Spain', 'Rome,  Italy', 'Madrid,  Spain', 'Segovia,  Spain', 'Alicante,  Spain', 'Madrid,  Spain', 'Lisbon,  Portugal', 'Madrid,  Spain', 'Yerevan,  Armenia', 'Valparaíso,  Chile', 'Santiago,  Chile', 'La Plata,  Argentina', 'Tigre,  Argentina', 'Buenos Aires,  Argentina', 'Tbilisi,  Georgia']","['Chiang  Mai, Thailand', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@antonratnick,"['Kutaisi,  Georgia', 'Plovdiv,  Bulgaria', 'Antalya,  Turkey', 'Fethiye,  Türkiye', 'Antalya,  Turkey', 'Alanya,  Turkey', 'Antalya,  Turkey', 'Moscow,  Russia', 'Plovdiv,  Bulgaria', 'Burgas,  Bulgaria', 'Moscow,  Russia', 'Poznan,  Poland', 'Moscow,  Russia', 'Barcelona,  Spain', 'Malaga,  Spain', 'Moscow,  Russia']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Athens, Greece', 'Berlin, Germany', 'Tbilisi, Georgia', 'Amsterdam, Netherlands', 'Madrid, Spain', 'Porto, Portugal']"
@johjoh,"['Sydney,  Australia', 'Manchester,  United Kingdom']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany']"
@talts,"['Porto,  Portugal']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Athens, Greece', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@meatdrawer69,"['Azores,  Portugal']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Athens, Greece', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@justeos,"['Cheltenham,  United Kingdom', 'Ko Lanta,  Thailand', 'Panama City,  Panama', 'London,  United Kingdom', 'Velbert,  Germany', 'Panama City,  Panama', 'Velbert,  Germany', 'Jaipur,  India', 'Jodhpur,  India', 'Goa,  India', 'Singapore,  Singapore', 'Ubud, Bali,  Indonesia', 'Frankfurt,  Germany', 'Barcelona,  Spain', 'Velbert,  Germany', 'Malaga,  Spain']","['Lisbon, Portugal', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany', 'Berlin, Spain', 'Madrid, Portugal']"
@mikeross,"['Bangkok,  Thailand', 'Fort Lauderdale, FL,  United States', 'Providence, RI,  United States', 'Phoenix, AZ,  United States', 'Seattle, WA,  United States', 'Montreal,  Canada', 'Fort Lauderdale, FL,  United States', 'Boston, MA,  United States', 'Seoul,  South Korea', 'Bangkok,  Thailand', 'Providence, RI,  United States', 'Ninh Bình,  Vietnam', 'Hanoi,  Vietnam', 'Siem Reap,  Cambodia', 'Bangkok,  Thailand', 'Chiang Mai,  Thailand']","['Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany', 'Berlin, Czechia']"
@calebjost7,"['Florianopolis,  Brazil', 'Austin, TX,  United States', 'Rio de Janeiro,  Brazil', 'Austin, TX,  United States', 'Belgrade,  Serbia', 'Valencia,  Spain', 'Austin, TX,  United States', 'Pagosa Springs,  United States', 'Austin, TX,  United States', 'Quintana Roo,  Mexico', 'Medellín,  Colombia', 'Seoul,  South Korea', 'Cologne,  Germany']","['Bangkok, Thailand', 'Buenos  Aires, Argentina', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@fukutomy,"['Melbourne,  Australia', 'Toyama,  Japan', 'Tokyo,  Japan', 'Tsukuba,  Japan', 'Hong Kong,  Hong Kong', 'Hanoi,  Vietnam', 'Bangkok,  Thailand', 'Singapore,  Singapore', 'Cebu,  Philippines', 'Jakarta,  Indonesia', 'Ho Chi Minh City,  Vietnam', 'Bangkok,  Thailand']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Berlin, Germany', 'Amsterdam, Netherlands', 'Da  Nang, Vietnam']"
@ilanawolstein,"['Mexico City,  Mexico', 'Medellín,  Colombia', 'Lima,  Peru']","['Bangkok, Thailand', 'Buenos  Aires, Argentina', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Berlin, Germany', 'Amsterdam, Netherlands', 'Madrid, Spain']"
@nateritter,"['Sydney,  Australia', 'Abu Dhabi,  United Arab Emirates', 'Delhi,  India', 'Nagpur,  India', 'Udaipur,  India', 'Agra,  India', 'Delhi,  India', 'Flic-en-Flac,  Mauritius', 'Paris,  France', 'Essaouira,  Morocco', 'Madrid,  Spain', 'Athens,  Greece', 'Athens,  Greece', 'Nauplion,  Greece', 'Athens,  Greece', '840 06,  Greece']","['Bangkok, Thailand', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@blair,"['Munich,  Germany', 'Perth,  Australia', 'Canggu, Bali,  Indonesia', 'Ubud, Bali,  Indonesia', 'Canggu, Bali,  Indonesia', 'Sydney,  Australia', 'Seoul,  South Korea', 'Helsinki,  Finland', 'Tallinn,  Estonia', 'Helsinki,  Finland', 'Taipei,  Taiwan', 'Sydney,  Australia', 'Ubud, Bali,  Indonesia', 'Tokyo,  Japan', 'Osaka,  Japan', 'Tokyo,  Japan']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Hong  Kong, Hungary', 'Budapest, Germany']"
@sensen,"['Prague,  Czechia', 'Paris,  France', 'Copenhagen,  Denmark', 'Toronto,  Canada', 'Montreal,  Canada', 'Mississauga,  Canada']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Amsterdam, Netherlands', 'Madrid, Spain']"
@dariuspinkney,"['Lisbon,  Portugal', 'Austin, TX,  United States', 'Merida,  Mexico', 'Tulum,  Mexico', 'Austin, TX,  United States', 'Bangkok,  Thailand', 'Kuala Lumpur,  Malaysia', 'Phuket,  Thailand', 'Buenos Aires,  Argentina', 'Rio de Janeiro,  Brazil', 'Buenos Aires,  Argentina', 'Austin, TX,  United States', 'Cartagena,  Colombia', 'Barranquilla,  Colombia', 'Cartagena,  Colombia', 'Panama City,  Panama']","['Chiang  Mai, Thailand', 'Medellín, Colombia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Canggu, Indonesia', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@kutayyilmaz,"['Dusseldorf,  Germany', 'Istanbul,  Turkey', 'Tbilisi,  Georgia', 'Yerevan,  Armenia', 'Istanbul,  Turkey', 'Yerevan,  Armenia', 'Istanbul,  Turkey', 'Minsk,  Belarus', 'New York City, NY,  United States']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany']"
@itslotti,"['Gran Canaria, Canary Islands,  Spain', 'Zurich,  Switzerland', 'Brisbane,  Australia', 'Port Vila,  Vanuatu']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@asheronova,"['Montevideo,  Uruguay', 'Batumi,  Georgia', 'Tbilisi,  Georgia', 'Moscow,  Russia', 'Montevideo,  Uruguay', 'Foz do Iguaçu,  Brazil', 'Montevideo,  Uruguay', 'Punta del Este,  Uruguay', 'Montevideo,  Uruguay', 'Buenos Aires,  Argentina', 'Montevideo,  Uruguay', 'Carmelo,  Uruguay', 'Montevideo,  Uruguay', 'Buenos Aires,  Argentina', 'Montevideo,  Uruguay', 'Rio de Janeiro,  Brazil']","['Chiang  Mai, Thailand', 'Kuala  Lumpur, Malaysia', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Czechia']"
@tomphillltd,"['Puerto de la Cruz,  Spain', 'Kuala Lumpur,  Malaysia', 'Phnom Penh,  Cambodia', 'Yangon,  Myanmar', 'Phnom Penh,  Cambodia', 'Bangkok,  Thailand', 'Benidorm,  Spain', 'Valencia,  Spain', 'Benidorm,  Spain', 'Alicante,  Spain', 'Benidorm,  Spain']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Malaysia', 'Penang, Germany']"
@siralis,"['Singapore,  Singapore', 'Seoul,  South Korea', 'Hong Kong,  Hong Kong', 'Kuala Lumpur,  Malaysia', 'Osaka,  Japan', 'Manila,  Philippines', 'Canggu, Bali,  Indonesia', 'Bangkok,  Thailand', 'Chiang Mai,  Thailand']","['Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Penang, Malaysia', 'Cebu, Philippines', 'Budapest, Hungary', 'Berlin, Germany', 'Amsterdam, Netherlands']"
@danielgabarra,"['Ribeirão Preto,  Brazil', 'Belo Horizonte,  Brazil', 'Singapore,  Singapore', 'Siem Reap,  Cambodia', 'Phnom Penh,  Cambodia', 'Canggu, Bali,  Indonesia', 'Yogyakarta,  Indonesia', 'Surakarta,  Indonesia', 'Canggu, Bali,  Indonesia', 'Kota Waingapu,  Indonesia', 'Tambolaka Airport,  Indonesia', 'Canggu, Bali,  Indonesia', 'Ubud, Bali,  Indonesia', 'Canggu, Bali,  Indonesia', 'Cape Town,  South Africa', 'Phuket,  Thailand']","['Chiang  Mai, Thailand', 'Medellín, Colombia', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan']"
@turnerinterrupt,"['Dubai,  United Arab Emirates']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@vivian,"['Sliema,  Malta', 'Istanbul,  Turkey', 'Perpignan,  France', 'Sofia,  Bulgaria', 'Varna,  Bulgaria', 'Bucharest,  Romania', 'Timisoara,  Romania']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Athens, Greece', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
